M,MNi,max_LC,skew,CV_LC,mad,
0.9,0.584,1.7642e+43,5.4286,1.8444,2.5e+42
0.9,0.604,1.8349e+43,5.4707,1.8513,2.5856e+42
0.9,0.624,1.9057e+43,5.5119,1.8581,2.6709e+42
0.9,0.644,1.9765e+43,5.5524,1.8647,2.7559e+42
0.9,0.663,2.0438e+43,5.5902,1.8708,2.8363e+42
0.9,0.683,2.1147e+43,5.6293,1.8771,2.9208e+42
0.9,0.703,2.1855e+43,5.6677,1.8833,3.0049e+42
0.9,0.723,2.2579e+43,5.7056,1.8893,3.0888e+42
0.9,0.743,2.3309e+43,5.7428,1.8953,3.1723e+42
0.9,0.762,2.4002e+43,5.7776,1.9008,3.2514e+42
0.9,0.782,2.4732e+43,5.8138,1.9065,3.3344e+42
0.9,0.802,2.5463e+43,5.8494,1.9121,3.4171e+42
0.9,0.822,2.6193e+43,5.8846,1.9176,3.4995e+42
0.9,0.842,2.6924e+43,5.9193,1.923,3.5816e+42
0.9,0.861,2.7617e+43,5.9518,1.9281,3.6594e+42
0.9,0.881,2.8347e+43,5.9856,1.9333,3.741e+42
0.9,0.901,2.9077e+43,6.019,1.9384,3.8223e+42
0.9,0.921,2.9806e+43,6.0519,1.9435,3.9033e+42
0.9,0.941,3.0541e+43,6.0845,1.9485,3.984e+42
0.9,0.96,3.1255e+43,6.1151,1.9531,4.0605e+42
0.9,0.98,3.2007e+43,6.147,1.958,4.1407e+42
0.9,1.0,3.2758e+43,6.1784,1.9627,4.2206e+42
1.1,0.01,9.4255e+40,2.0454,1.1038,1.7713e+40
1.1,0.03,3.9653e+41,2.5786,1.2829,8.2043e+40
1.1,0.05,7.6341e+41,2.8771,1.3612,1.541e+41
1.1,0.069,1.1494e+42,3.0808,1.4093,2.2493e+41
1.1,0.089,1.5836e+42,3.2503,1.4469,3.0343e+41
1.1,0.109,2.0413e+42,3.3908,1.4768,3.8378e+41
1.1,0.129,2.5184e+42,3.5115,1.5016,4.656e+41
1.1,0.149,3.0111e+42,3.6176,1.523,5.4861e+41
1.1,0.168,3.4921e+42,3.7081,1.5409,6.255e+41
1.1,0.188,4.0114e+42,3.7949,1.5578,7.0963e+41
