B,p10,Mint,Mniint,max_LC,skew,CV_LC,mad,aslope,bslope,median,time
2,0.2,3,0.6,3.0914e+44,1.5488,0.64868,1.8618e+43,-3.0913e+42,1.2448e+43,1.3422e+44,24.75
2,0.2,3,0.8,3.2256e+44,1.5631,0.66628,2.151e+43,-3.504e+42,1.3253e+43,1.3461e+44,24.255
2,0.2,5,0.1,1.6002e+44,2.1673,0.392,-6.1509e+42,-7.3011e+41,4.3505e+42,1.1356e+44,36.63
2,0.2,5,0.3,1.6955e+44,2.0052,0.40863,-5.5886e+42,-8.73e+41,4.7381e+42,1.1699e+44,35.64
2,0.2,5,0.4,1.7411e+44,1.9426,0.41661,-5.3965e+42,-8.6072e+41,5.0056e+42,1.1865e+44,34.65
2,0.2,5,0.5,1.7854e+44,1.8894,0.42434,-5.2787e+42,-9.2235e+41,5.2075e+42,1.2029e+44,34.155
2,0.2,5,0.6,1.8284e+44,1.8439,0.43185,-4.4756e+42,-9.8006e+41,5.4118e+42,1.2117e+44,33.66
2,0.2,5,0.8,1.9114e+44,1.7711,0.44624,-3.8751e+42,-1.0824e+42,5.8297e+42,1.2373e+44,32.67
2,0.2,7,0.1,1.1126e+44,3.8818,0.32366,-6.8834e+42,-3.3288e+41,2.4593e+42,9.0063e+43,45.045
2,0.2,7,0.3,1.1803e+44,3.5967,0.32949,-6.9902e+42,-3.8583e+41,2.6981e+42,9.4075e+43,43.56
2,0.2,7,0.4,1.2126e+44,3.4618,0.33266,-6.7708e+42,-3.9154e+41,2.837e+42,9.567e+43,42.57
2,0.2,7,0.5,1.2441e+44,3.3335,0.33594,-6.5837e+42,-4.314e+41,2.9447e+42,9.7215e+43,42.075
2,0.2,7,0.6,1.2747e+44,3.2123,0.33934,-6.5728e+42,-4.2974e+41,3.0904e+42,9.8862e+43,41.085
2,0.2,7,0.8,1.3337e+44,2.9916,0.34638,-6.6454e+42,-5.0031e+41,3.3135e+42,1.0206e+44,40.095
2,0.2,10,0.1,7.4869e+43,4.6049,0.31936,-6.9361e+42,-1.3738e+41,1.3325e+42,6.6037e+43,55.935
2,0.2,10,0.3,7.9507e+43,4.6665,0.31667,-6.8548e+42,-1.5673e+41,1.4671e+42,6.9377e+43,53.955
2,0.2,10,0.4,8.1725e+43,4.6849,0.31555,-6.9248e+42,-1.6494e+41,1.5363e+42,7.1057e+43,52.965
2,0.2,10,0.5,8.388e+43,4.6944,0.31462,-6.942e+42,-1.7174e+41,1.607e+42,7.2623e+43,51.975
2,0.2,10,0.6,8.5978e+43,4.695,0.31386,-6.8276e+42,-1.7694e+41,1.6793e+42,7.4e+43,50.985
2,0.2,10,0.8,9.003e+43,4.6707,0.31284,-6.8446e+42,-2.0095e+41,1.8114e+42,7.6849e+43,49.5
