B,p10,MinitMniintmax_LC,skew,CV_LC,mad,
10,0.2,1.2,0.5,1.4336e+44,2.9526,1.3697,2.8508e+43
10,0.2,1.2,0.6,1.4568e+44,2.9655,1.3723,2.8913e+43
10,0.2,1.2,0.7,1.4799e+44,2.9784,1.3749,2.9317e+43
10,0.2,1.3,0.1,1.2556e+44,2.7644,1.3226,2.5574e+43
10,0.2,1.3,0.2,1.2775e+44,2.7779,1.3257,2.5972e+43
10,0.2,1.3,0.3,1.2995e+44,2.7916,1.3286,2.6369e+43
10,0.2,1.3,0.4,1.3219e+44,2.8053,1.3316,2.6767e+43
10,0.2,1.3,0.5,1.3445e+44,2.819,1.3345,2.7165e+43
10,0.2,1.3,0.6,1.3671e+44,2.8327,1.3374,2.7562e+43
10,0.2,1.3,0.7,1.3897e+44,2.8464,1.3402,2.796e+43
12,0.2,0.8,0.1,1.4715e+44,3.7648,1.5733,2.5923e+43
12,0.2,0.8,0.2,1.4971e+44,3.7696,1.5746,2.6357e+43
12,0.2,0.8,0.3,1.5228e+44,3.7752,1.576,2.6791e+43
12,0.2,0.8,0.4,1.5484e+44,3.7815,1.5774,2.7224e+43
12,0.2,0.8,0.5,1.5745e+44,3.7885,1.5789,2.7658e+43
12,0.2,0.8,0.6,1.6013e+44,3.796,1.5803,2.8092e+43
12,0.2,0.8,0.7,1.628e+44,3.8039,1.5817,2.8526e+43
12,0.2,0.9,0.1,1.3333e+44,3.5041,1.5165,2.4525e+43
12,0.2,0.9,0.2,1.358e+44,3.5113,1.5183,2.4951e+43
12,0.2,0.9,0.3,1.3829e+44,3.5192,1.5202,2.5377e+43
12,0.2,0.9,0.4,1.4077e+44,3.5277,1.522,2.5803e+43
12,0.2,0.9,0.5,1.4326e+44,3.5368,1.5239,2.6229e+43
12,0.2,0.9,0.6,1.4582e+44,3.5464,1.5257,2.6655e+43
12,0.2,0.9,0.7,1.4841e+44,3.5564,1.5276,2.7081e+43
12,0.2,1.0,0.1,1.221e+44,3.2858,1.4664,2.3272e+43
12,0.2,1.0,0.2,1.2442e+44,3.295,1.4687,2.369e+43
12,0.2,1.0,0.3,1.2683e+44,3.3049,1.471,2.4109e+43
12,0.2,1.0,0.4,1.2926e+44,3.3154,1.4732,2.4527e+43
12,0.2,1.0,0.5,1.3168e+44,3.3263,1.4755,2.4946e+43
12,0.2,1.0,0.6,1.341e+44,3.3377,1.4777,2.5365e+43
12,0.2,1.0,0.7,1.3659e+44,3.3493,1.4799,2.5783e+43
12,0.2,1.1,0.1,1.1271e+44,3.1,1.4218,2.2122e+43
12,0.2,1.1,0.2,1.1499e+44,3.111,1.4244,2.2534e+43
12,0.2,1.1,0.3,1.1727e+44,3.1226,1.4271,2.2945e+43
12,0.2,1.1,0.4,1.1963e+44,3.1348,1.4297,2.3356e+43
12,0.2,1.1,0.5,1.2199e+44,3.1473,1.4323,2.3768e+43
12,0.2,1.1,0.6,1.2436e+44,3.1602,1.4348,2.4179e+43
12,0.2,1.1,0.7,1.2672e+44,3.1733,1.4374,2.4591e+43
12,0.2,1.2,0.1,1.0473e+44,2.9398,1.3814,2.1049e+43
12,0.2,1.2,0.2,1.0697e+44,2.9524,1.3845,2.1453e+43
12,0.2,1.2,0.3,1.0921e+44,2.9655,1.3874,2.1858e+43
12,0.2,1.2,0.4,1.1144e+44,2.9791,1.3904,2.2262e+43
12,0.2,1.2,0.5,1.1375e+44,2.9931,1.3933,2.2666e+43
12,0.2,1.2,0.6,1.1606e+44,3.0072,1.3962,2.3071e+43
12,0.2,1.2,0.7,1.1837e+44,3.0216,1.399,2.3475e+43
12,0.2,1.3,0.1,9.7932e+43,2.8001,1.3447,2.0032e+43
12,0.2,1.3,0.2,1.0006e+44,2.8142,1.3481,2.043e+43
12,0.2,1.3,0.3,1.0225e+44,2.8287,1.3514,2.0827e+43
12,0.2,1.3,0.4,1.0445e+44,2.8435,1.3546,2.1225e+43
12,0.2,1.3,0.5,1.0665e+44,2.8587,1.3578,2.1623e+43
12,0.2,1.3,0.6,1.0888e+44,2.874,1.3609,2.2021e+43
12,0.2,1.3,0.7,1.1115e+44,2.8894,1.364,2.2418e+43
15,0.2,0.8,0.1,1.0804e+44,3.8216,1.6018,1.8951e+43
15,0.2,0.8,0.2,1.1046e+44,3.8219,1.6027,1.9385e+43
15,0.2,0.8,0.3,1.1297e+44,3.8244,1.6037,1.9819e+43
15,0.2,0.8,0.4,1.1553e+44,3.8287,1.6047,2.0253e+43
15,0.2,0.8,0.5,1.1809e+44,3.8345,1.6058,2.0686e+43
15,0.2,0.8,0.6,1.2068e+44,3.8415,1.607,2.112e+43
15,0.2,0.8,0.7,1.2336e+44,3.8497,1.6082,2.1554e+43
15,0.2,0.9,0.1,9.7761e+43,3.5564,1.5439,1.7929e+43
15,0.2,0.9,0.2,1.0013e+44,3.5602,1.5455,1.8355e+43
15,0.2,0.9,0.3,1.0251e+44,3.566,1.5471,1.8781e+43
15,0.2,0.9,0.4,1.0499e+44,3.5736,1.5488,1.9207e+43
15,0.2,0.9,0.5,1.0748e+44,3.5825,1.5505,1.9633e+43
15,0.2,0.9,0.6,1.0997e+44,3.5925,1.5522,2.0059e+43
